KOD	ISH NOMI	KG	RAZMER	1 QAVAT	1 MIKRON	2 QAVAT	2 MIKRON
1178	rustam aka Mahsulot: sof qurt yashil	300	530	pet	12	pe pr	30
1207	nasr semika 90 gr yangi qolib keladi	3000	635	pet	12	oppm/pe pr	20/30
